From	Entry	Entry.Name	Gene.Names
Q47XQ9	Q47XQ9	Q47XQ9_COLP3	CPS_3744
Q47WN3	Q47WN3	RECA_COLP3	CPS_4134
Q47XX2	Q47XX2	Q47XX2_COLP3	CPS_3680
Q47XY6	Q47XY6	Q47XY6_COLP3	CPS_3666
Q47XY7	Q47XY7	Q47XY7_COLP3	CPS_3665
Q47WN5	Q47WN5	YGFZ_COLP3	CPS_4132
Q47XY8	Q47XY8	Q47XY8_COLP3	CPS_3664
Q47XZ0	Q47XZ0	Q47XZ0_COLP3	CPS_3662
Q47WP3	Q47WP3	LEPA_COLP3	CPS_4124
Q47Y15	Q47Y15	Q47Y15_COLP3	CPS_3637
Q47WP5	Q47WP5	RNC_COLP3	CPS_4122
Q47Y28	Q47Y28	Q47Y28_COLP3	CPS_3624
Q47Y59	Q47Y59	Q47Y59_COLP3	CPS_3593
Q47Y63	Q47Y63	Q47Y63_COLP3	CPS_3589
Q47Y73	Q47Y73	Q47Y73_COLP3	CPS_3579
Q47Y79	Q47Y79	Q47Y79_COLP3	CPS_3573
Q47Y86	Q47Y86	Q47Y86_COLP3	CPS_3560
Q47WQ9	Q47WQ9	PYRG_COLP3	CPS_4108
Q47Y95	Q47Y95	Q47Y95_COLP3	CPS_3551
Q47YA3	Q47YA3	Q47YA3_COLP3	CPS_3543
Q47YA6	Q47YA6	Q47YA6_COLP3	CPS_3540
Q47YB0	Q47YB0	Q47YB0_COLP3	CPS_3536
Q47YB7	Q47YB7	Q47YB7_COLP3	CPS_3529
Q47YB9	Q47YB9	Q47YB9_COLP3	CPS_3527
Q47YC0	Q47YC0	Q47YC0_COLP3	CPS_3526
Q47YC1	Q47YC1	Q47YC1_COLP3	CPS_3525
Q47YC7	Q47YC7	Q47YC7_COLP3	CPS_3519
Q47YC8	Q47YC8	Q47YC8_COLP3	CPS_3518
Q47YF8	Q47YF8	Q47YF8_COLP3	CPS_3488
Q47WR5	Q47WR5	Y4102_COLP3	CPS_4102
Q47YG6	Q47YG6	Q47YG6_COLP3	CPS_3480
Q47YH0	Q47YH0	Q47YH0_COLP3	CPS_3476
Q47YH1	Q47YH1	Q47YH1_COLP3	CPS_3475
Q47YH2	Q47YH2	Q47YH2_COLP3	CPS_3474
Q47YH3	Q47YH3	Q47YH3_COLP3	CPS_3473
Q47YH7	Q47YH7	Q47YH7_COLP3	CPS_3469
Q47YI2	Q47YI2	Q47YI2_COLP3	CPS_3464
Q47YI3	Q47YI3	Q47YI3_COLP3	CPS_3463
Q47YI8	Q47YI8	Q47YI8_COLP3	CPS_3458
Q47YJ4	Q47YJ4	Q47YJ4_COLP3	CPS_3452
Q47YJ5	Q47YJ5	Q47YJ5_COLP3	CPS_3451
Q47WT5	Q47WT5	SYK_COLP3	CPS_4082
Q47YM6	Q47YM6	Q47YM6_COLP3	CPS_3419
Q47YN6	Q47YN6	Q47YN6_COLP3	CPS_3409
Q47YP1	Q47YP1	Q47YP1_COLP3	CPS_3404
Q47YQ5	Q47YQ5	Q47YQ5_COLP3	CPS_3390
Q47YR5	Q47YR5	Q47YR5_COLP3	CPS_3379
Q47YS7	Q47YS7	Q47YS7_COLP3	CPS_3367
Q47YY2	Q47YY2	Q47YY2_COLP3	CPS_3312
Q47WV0	Q47WV0	TRMD_COLP3	CPS_4067
Q47YY8	Q47YY8	Q47YY8_COLP3	CPS_3306
Q47YZ4	Q47YZ4	Q47YZ4_COLP3	CPS_3300
Q47Z17	Q47Z17	Q47Z17_COLP3	CPS_3271
Q47Z22	Q47Z22	Q47Z22_COLP3	CPS_3258
Q47Z44	Q47Z44	Q47Z44_COLP3	CPS_3236
Q47Z47	Q47Z47	Q47Z47_COLP3	CPS_3233
Q47XA7	Q47XA7	HTPG_COLP3	CPS_3901
Q47Z48	Q47Z48	Q47Z48_COLP3	CPS_3232
Q47Z53	Q47Z53	Q47Z53_COLP3	CPS_3227
Q47Z76	Q47Z76	Q47Z76_COLP3	CPS_3198
Q47Z79	Q47Z79	Q47Z79_COLP3	CPS_3195
Q47Z83	Q47Z83	Q47Z83_COLP3	CPS_3191
Q47Z84	Q47Z84	Q47Z84_COLP3	CPS_3190
Q47Z92	Q47Z92	Q47Z92_COLP3	CPS_3182
Q47XB3	Q47XB3	HIS6_COLP3	CPS_3895
Q47Z97	Q47Z97	Q47Z97_COLP3	CPS_3177
Q47Z98	Q47Z98	Q47Z98_COLP3	CPS_3176
Q47ZA0	Q47ZA0	Q47ZA0_COLP3	CPS_3174
Q47ZA1	Q47ZA1	Q47ZA1_COLP3	CPS_3173
Q47ZA2	Q47ZA2	Q47ZA2_COLP3	CPS_3172
Q47ZA4	Q47ZA4	Q47ZA4_COLP3	CPS_3170
