From	Entry	Entry.Name	Gene.Names
Q47WN0	Q47WN0	MUTS_COLP3	CPS_4137
Q47XR6	Q47XR6	Q47XR6_COLP3	CPS_3737
Q47XR9	Q47XR9	Q47XR9_COLP3	CPS_3734
Q47XT1	Q47XT1	Q47XT1_COLP3	CPS_3722
Q47XT5	Q47XT5	Q47XT5_COLP3	CPS_3718
Q47XU4	Q47XU4	Q47XU4_COLP3	CPS_3709
Q47XW4	Q47XW4	Q47XW4_COLP3	CPS_3688
Q47XW5	Q47XW5	Q47XW5_COLP3	CPS_3687
Q47XW6	Q47XW6	Q47XW6_COLP3	CPS_3686
Q47XW8	Q47XW8	Q47XW8_COLP3	CPS_3684
Q47XW9	Q47XW9	Q47XW9_COLP3	CPS_3683
Q47XY2	Q47XY2	Q47XY2_COLP3	CPS_3670
Q47XY5	Q47XY5	Q47XY5_COLP3	CPS_3667
Q47XY9	Q47XY9	Q47XY9_COLP3	CPS_3663
Q47XZ1	Q47XZ1	Q47XZ1_COLP3	CPS_3661
Q47XZ2	Q47XZ2	Q47XZ2_COLP3	CPS_3660
Q47XZ3	Q47XZ3	Q47XZ3_COLP3	CPS_3659
Q47Y01	Q47Y01	Q47Y01_COLP3	CPS_3651
Q47Y07	Q47Y07	Q47Y07_COLP3	CPS_3645
Q47Y08	Q47Y08	Q47Y08_COLP3	CPS_3644
Q47Y09	Q47Y09	Q47Y09_COLP3	CPS_3643
Q47Y10	Q47Y10	Q47Y10_COLP3	CPS_3642
Q47Y11	Q47Y11	Q47Y11_COLP3	CPS_3641
Q47Y13	Q47Y13	Q47Y13_COLP3	CPS_3639
Q47Y14	Q47Y14	Q47Y14_COLP3	CPS_3638
Q47Y16	Q47Y16	Q47Y16_COLP3	CPS_3636
Q47Y17	Q47Y17	Q47Y17_COLP3	CPS_3635
Q47Y18	Q47Y18	Q47Y18_COLP3	CPS_3634
Q47Y22	Q47Y22	Q47Y22_COLP3	CPS_3630
Q47Y23	Q47Y23	Q47Y23_COLP3	CPS_3629
Q47Y24	Q47Y24	Q47Y24_COLP3	CPS_3628
Q47Y30	Q47Y30	Q47Y30_COLP3	lgt CPS_3622
Q47Y32	Q47Y32	Q47Y32_COLP3	purU2 purU CPS_3620
Q47WP8	Q47WP8	PDXJ_COLP3	pdxJ CPS_4119
