"","orig","des_old","des_new"
"Q47U32","50S ribosomal protein L34 ","50S ribosomal protein L34 ","Large ribosomal subunit protein bL34 "
"Q47U33","Ribonuclease P protein component ","Ribonuclease P protein component ","Ribonuclease P protein component "
"Q47U35","Membrane protein insertase YidC ","Membrane protein insertase YidC ","Membrane protein insertase YidC "
"Q47U36","tRNA modification GTPase MnmE ","tRNA modification GTPase MnmE ","tRNA modification GTPase MnmE "
"Q47U37","MioC protein ","MioC protein ","MioC protein "
"Q47U38","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG ","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG ","tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG "
"Q47U39","Ribosomal RNA small subunit methyltransferase G ","Ribosomal RNA small subunit methyltransferase G ","Ribosomal RNA small subunit methyltransferase G "
"Q47U40","ParA family protein ","ParA family protein ","ParA family protein "
"Q47U41","ParB family protein ","ParB family protein ","Probable chromosome-partitioning protein ParB "
"Q47U45","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein ","ABC transporter, ATP-binding protein "
"Q47U46","Uncharacterized protein ","Uncharacterized protein ","Alginate export domain-containing protein "
"Q47U48","OmpA family protein ","OmpA family protein ","OmpA family protein "
"Q47U49","Uncharacterized protein ","Uncharacterized protein ","Lipoprotein "
"Q47U50","Uncharacterized protein ","Uncharacterized protein ","Outer membrane protein beta-barrel domain-containing protein "
"Q47U51","Efflux transporter, RND family, MFP subunit ","Efflux transporter, RND family, MFP subunit ","Efflux transporter, RND family, MFP subunit "
"Q47U52","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein ","AcrB/AcrD/AcrF family protein "
"Q47U53","Sensor histidine kinase ","Sensor histidine kinase ","histidine kinase "
"Q47U54","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family ","Sigma-54 dependent DNA-binding response regulator, Fis family "
"Q47U55","Putative general secretion pathway protein A ","Putative general secretion pathway protein A ","Putative general secretion pathway protein A "
"Q47U56","Uncharacterized protein ","Uncharacterized protein ","PEP-CTERM system associated protein "
