"","P01","P02","P03","P04","P05","P06","P07","P08","P09","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27","P28","P29","P30","P31","P32","P33","P34","P35","P36","P37","P38","P39","P40","P41","P42"
"Q47WN0",3.76788890834178,3.52371924965975,3.47976778829278,2.68868225570832,2.77985182477027,2.78157815771218,3.59606067929619,3.40537463573703,2.92023293668268,2.33253451770939,3.15131305988542,3.09255401746234,3.44324931827689,3.68868677639569,3.51647734164044,3.11004849992275,3.0066815370957,3.35394001709947,3.47604855505235,3.24806096968904,3.30492153245293,2.96181297711818,3.92541763098045,2.83273386164183,3.44209956419666,2.98502476433918,2.21205026102428,4.19662658591475,3.42095547183632,3.45312714852472,3.25066655534572,2.2758625527621,3.34684638575558,3.15331832970791,3.69088758375391,3.60165453531124,3.16684144352826,2.59796848349736,3.26480025578892,2.9793966706684,2.56284231127756,3.49604297229819
"Q47XQ9",2.88435159711781,2.58771167293488,3.28072559667791,3.78242595744779,3.87360293344752,3.87533054476228,3.68980414775683,2.46935636328261,2.88468464481054,3.84132280118459,3.92313580570792,3.64197451384614,2.9222790249072,2.97508009353914,2.5804771471438,3.65947307746678,3.29306735869339,3.64031989402497,3.54004113914462,1.94947589934372,3.59131179023244,3.51123314710655,4.04188515880634,3.92646083784012,3.24305936107082,2.53444443949932,2.91348145600603,4.21997109710759,4.06990777743884,4.10207960922668,2.95208911059551,1.97728953360264,2.63322889508111,3.85474184096813,4.43670480950276,4.05796287869524,3.19019779041805,2.46932311258906,2.55118329128641,3.26578160705397,3.43419507480819,2.97507859878586
"Q47XR6",3.57897799731431,3.33480145351141,3.65342140687347,NA,NA,NA,2.40713790853451,0.4090558530148,2.73131371172262,NA,NA,NA,3.44697217321429,3.49976895687793,3.84213455305484,NA,NA,NA,3.06473651241433,2.79610302961068,3.33839881204731,NA,NA,NA,3.0307972688707,2.47417657824954,2.02312403412938,NA,NA,NA,3.79872072081468,3.82390177759655,4.38031618454061,NA,0.501925802261259,NA,3.85239152819392,4.31594187390571,3.29827271718356,NA,NA,NA
"Q47XR9",1.41197695283536,1.5303361518537,1.48640282660092,NA,1.59384893585626,1.59558835949399,1.41004869368624,1.41199407873459,1.41227389616008,2.56156205961985,NA,1.58463510352177,2.44986960071583,2.50267633177093,2.52312331845725,1.6021031601427,1.49875089618348,1.58295371957995,2.4826762561324,2.47707537601689,2.5339547712379,1.45386360545852,NA,1.64669568383962,2.44873621030126,1.47705776645614,2.44109279476164,1.42566974646528,NA,1.45976279292555,2.47968315455701,2.5048727378751,2.57585766574737,1.3823474526324,1.50486315408059,NA,3.39586710648694,2.99691665993111,3.4938226851168,NA,1.3768238169156,1.50269669367179
"Q47XT1",2.7849575581236,2.6403201591428,3.08179338024799,NA,NA,NA,1.19808010199757,1.78499830730424,0.200387271399037,0.349613976023796,NA,NA,3.04525880821613,1.87565459563766,2.31116282955876,1.39013459933625,1.28680235491528,NA,2.59264559824117,2.5870494026593,1.9069560789246,0.241887800067407,0.357545317006927,NA,2.55870246530554,1.26512831425103,1.81409245908581,NA,NA,NA,3.07508355927136,2.61484305596498,1.94885422335938,NA,NA,NA,1.76885410147054,2.19997300765525,1.86681757239366,0.259486831975286,0.164903364635744,NA
"Q47XT2",3.16157538071506,3.27997182705213,2.23604051274004,NA,2.34348882985622,2.34520680544807,3.15968285585796,3.16163210261074,2.16191145097886,NA,NA,NA,3.19951014018107,3.2522945120959,3.85770819270251,NA,NA,2.33257909917369,NA,2.22671668248136,3.28357301696102,NA,NA,NA,3.78332487793343,NA,2.19071306765019,NA,NA,2.20938988761189,2.22932704099203,3.254497651897,NA,NA,NA,NA,3.14549742311269,3.161583966157,2.24343207895304,NA,NA,NA
"Q47XT5",4.84782659024918,3.96622159870162,3.92227566557061,3.93854022640817,2.44476133639753,2.44648054096867,4.58288973803297,3.26291140360509,4.58512880668719,NA,NA,NA,5.10813991448726,4.35358182882314,5.18137848283923,3.45301954136671,2.34964450370288,2.4338768432226,4.33359073170161,3.32799611341733,3.38485796219989,2.30477931239086,2.42039896822829,2.49760968421488,4.88460696280383,4.9129502065623,4.29199454192085,4.27656100582214,4.27849874990003,4.89562904190723,5.13795626203891,5.67771538550252,5.01174051833484,3.81821596494301,4.35578583411912,4.26655192420824,4.83174074041285,4.58478827122323,4.66665665327408,3.32236275532655,3.22775016364878,2.35357894045216
"Q47XU4",3.9867769284755,3.10515955803864,3.06122828193044,2.07750097926458,3.16865973177275,2.17039211571863,3.56983307981225,2.98683461716291,2.98711995624215,NA,2.21818384775174,NA,3.02468908651318,3.66245965230898,3.09792667806465,2.1769281609473,2.07357183771504,3.15778740519602,2.05751501718906,3.05190492997291,2.10876144874541,2.02869187228416,3.14431111246336,2.2215237242017,3.02354927483692,3.05189753759536,2.01591584405864,2.00046628148423,3.00240130929784,2.03458713089266,2.05450850373358,3.07970409368603,2.15067446898083,2.95715976550533,2.07970547541952,1.99045932963994,2.97068185873007,3.57172992588045,2.06864052328431,2.04627414401706,2.95165325900655,3.66245170299614
"Q47XW4",5.68432959627772,6.12464851692133,5.87425163642465,5.64951312336705,5.98169865693718,5.45291241624665,6.18492365918089,6.62298131702553,6.09970375700734,5.94941612770225,5.50071662011968,4.85698937664524,6.22475063177365,6.1900853566536,6.11741805715303,5.61145049915137,5.77111749253647,5.72980578067405,6.56240932819262,5.97184485781778,6.12824884200249,6.14128560742641,5.57882273423551,5.33411974932906,6.6597073952594,6.74944874138227,6.21595634504544,6.20052200991781,6.02188680399081,6.23463260955746,6.69066625741007,6.44021723946447,6.35074049471197,6.06975026547614,5.51421766512045,6.00994609489401,6.72713380045915,6.42129098599996,6.26869559294784,6.4067895321947,6.2341738474111,6.19008641305328
"Q47WN3",6.32801688193071,6.22401789015617,6.40246322112587,6.7813032749585,7.02448285701143,7.02621204685117,6.74114990866665,6.74310817264664,6.57989349413221,6.99219994525637,7.21151917423387,7.19582525097645,6.29554924384042,6.61138170514715,6.43917793952327,6.51817453424792,6.60745054260345,7.1511026294162,6.46585820141356,6.46025624394685,6.96458231244671,6.97762034920784,7.09322890860538,6.81431172759412,6.72736751884196,6.39313843329753,6.71971408001957,6.70428150905667,6.85822130630945,6.56846527139014,6.46286909367171,7.02862279947631,6.55904303998614,6.8602811368449,7.02862196742748,6.89358484321093,7.00707423007046,6.74305227358989,6.77245382917038,6.75008389144303,6.65547072286219,6.98061583409381
