original.id,Protein,KO.number,uniprot.gene.id,gene.id,gene.name
tr|Q486U7|Q486U7_COLP3,Q486U7,K18335,CPS_1175,CPS_1176,2-keto-3-deoxy-L-fuconate dehydrogenase [EC:1.1.1.-]
sp|Q487H5|SYA_COLP3,Q487H5,K01872,surE,surE, alanyl-tRNA synthetase [EC:6.1.1.7]
sp|Q480P4|LFTR_COLP3,Q480P4,K00684,hfq,hfq, leucyl/phenylalanyl-tRNA---protein transferase [EC:2.3.2.6]
tr|Q487F5|Q487F5_COLP3,Q487F5,K01990,CPS_1066,ABC-2.A, ABC-2 type transport system ATP-binding protein
tr|Q47ZI8|Q47ZI8_COLP3,Q47ZI8,K01990,CPS_3084,ABC-2.A, ABC-2 type transport system ATP-binding protein
tr|Q483Z2|Q483Z2_COLP3,Q483Z2,K01990,CPS_1893,ABC-2.A, ABC-2 type transport system ATP-binding protein
tr|Q486M3|Q486M3_COLP3,Q486M3,K01990,CPS_1249,ABC-2.A, ABC-2 type transport system ATP-binding protein
tr|Q489Q6|Q489Q6_COLP3,Q489Q6,K01990,CPS_0450,ABC-2.A, ABC-2 type transport system ATP-binding protein
tr|Q487L2|Q487L2_COLP3,Q487L2,K01990,CPS_1004,ABC-2.A, ABC-2 type transport system ATP-binding protein
tr|Q47ZI9|Q47ZI9_COLP3,Q47ZI9,K01992,CPS_3083,ABC-2.P, ABC-2 type transport system permease protein
tr|Q487F4|Q487F4_COLP3,Q487F4,K01992,CPS_1067,ABC-2.P, ABC-2 type transport system permease protein
tr|Q487L1|Q487L1_COLP3,Q487L1,K01992,CPS_1005,ABC-2.P, ABC-2 type transport system permease protein
tr|Q489Q5|Q489Q5_COLP3,Q489Q5,K01992,CPS_0451,ABC-2.P, ABC-2 type transport system permease protein
tr|Q486M4|Q486M4_COLP3,Q486M4,K01992,CPS_1248,ABC-2.P, ABC-2 type transport system permease protein
tr|Q483Z1|Q483Z1_COLP3,Q483Z1,K01992,CPS_1894,ABC-2.P, ABC-2 type transport system permease protein
tr|Q484E3|Q484E3_COLP3,Q484E3,K01992,CPS_1842,ABC-2.P, ABC-2 type transport system permease protein
tr|Q484E4|Q484E4_COLP3,Q484E4,K01992,CPS_1841,ABC-2.P, ABC-2 type transport system permease protein
tr|Q484E5|Q484E5_COLP3,Q484E5,K01993,CPS_1840,ABC-2.TX, HlyD family secretion protein
tr|Q486M2|Q486M2_COLP3,Q486M2,K01993,CPS_1250,ABC-2.TX, HlyD family secretion protein
tr|Q47VV7|Q47VV7_COLP3,Q47VV7,K02003,CPS_4416,ABC.CD.A, putative ABC transport system ATP-binding protein
